,negative_prob,positive_prob
zuschaut,0.9758447980588916,0.03098176916227257
agbs,0.9775200435583052,0.006731317805949599
marsch,0.9896089570137336,0.005138751721367312
vordergründigen,0.9999942250565108,0.002238986278118874
tendiert,0.9663012606201142,0.014875235116762187
zinserhöhungen,0.9385212013719378,0.09588631829168316
wuchernde,0.9569393681382964,0.052039276128062514
existenzsorgen,0.972576631566229,0.0489702938886555
hinnehmbaren,0.949296898623361,0.041059732505038055
feldbeobachtung,0.9379310904084164,0.04022529106314638
amok,0.9829930870858952,0.01226176598287243
verprügelt,0.9864634994070568,0.007184963418151211
insinuieren,0.9583412718663116,0.057233569441272725
durchgewunken,0.9556002742205448,0.06036804177278065
einschüchterungen,0.9893209513757986,0.0411325072595634
kinderlos,0.9505836273019688,0.036652700122204264
paramilitärs,0.9908750330772671,0.013472365920234469
gedächtnisschwund,0.9711925055717427,0.025245524240138116
finanzprobleme,0.9926277760823476,0.015134893741693509
agitieren,0.9864684006957144,0.0523150842480675
ausplündern,0.9903633417880459,0.015198162754089738
anachronistisch,0.9973055042131256,0.005876542686801516
sprengsätze,0.9456965891157496,0.05937053049754585
schreckensmeldungen,0.9447874541456094,0.051524997322293216
bagatellisiert,0.9999883029413428,0.0024376461079106673
lebensgefahr,0.9999985191126424,0.0007910374454785863
radikalen,0.9893212222380336,0.023387400794700253
spaltet,0.9881746698665408,0.02096800177515716
unproduktive,0.9460408581846841,0.06557101928739625
taktik,0.9780844268634042,0.002910362893477541
mauern,0.9488247047174804,0.04220695172269359
einschnitten,0.9999904480289392,0.00755872034256475
büchse,0.987912515893515,0.003323823492691051
alarm,0.99070692982973,0.00952989081858384
irakkrieges,0.9847668081633352,0.017503176939185752
verschämte,0.9889530559520232,0.019932739253633768
abgemahnt,0.9421662040941556,0.06439634866253745
mörder,0.9686844124589741,0.017755241261920122
gegengesteuert,0.9324602748091102,0.14596515936952628
ungeklärten,0.9943836939119708,0.005019669887970056
herumgedoktert,0.9421079582267295,0.0764108987684885
steuerausfällen,0.9943806174402028,0.018235517764840628
unfrieden,0.9999880651335308,0.013483244281515176
ausweglose,0.9683012136823193,0.032062352703659425
konzentrationslagern,0.9726199249739179,0.014697765242449666
inhaftierungen,0.9790893918997614,0.025738756186870698
naturkatastrophe,0.9965719208474286,0.0018901063305105828
eingebrochen,0.9807676480482248,0.0244801498218744
übermacht,0.9820604060402786,0.031606947805102786
unüberschaubaren,0.9741714395367188,0.02984276575540518
hemmungslose,0.9739536544502796,0.05030461364171367
lebensmittelskandale,0.9916283417704872,0.006799527016168371
sumpf,0.9695461145243046,0.008549560215498847
contergan,0.9608727419183716,0.02365997690822947
eingliederungsbeitrag,0.9309246822591484,0.03467545767924978
zuließ,0.9462595075185132,0.03965700683659696
übeltäter,0.9384201909287708,0.03741716456487749
vollziehende,0.9690189026382979,0.05585960380970695
restlaufzeiten,0.9819184453461852,0.015118463792327303
stagflation,0.9666546482781252,0.021608144333129117
verdächtige,0.9833191330934,0.013351474927273696
rechtfertigungszwang,0.9381217290558512,0.029462384086278326
respektlosigkeit,0.9931255551235308,0.009455515561369142
chronischen,0.9803267075302871,0.0102971894486081
starben,0.9673774122011845,0.02129500379697102
ansteckung,0.94589459166079,0.02026313998792237
geschehnisse,0.9538567033563132,0.02181451594538057
aufständische,0.9999872674595284,0.002193681880266681
verhört,0.9687022140107764,0.03574510630662956
entgleisung,0.9552303534877564,0.020048830828349143
frechheit,0.9328506315599664,0.07801923427710201
angezettelt,0.9698950331672366,0.032902306585981256
vögel,0.9741119611849094,0.003306723441989432
vermeintlicher,0.9402949089666056,0.11269460601165072
entführungen,0.995267070670832,0.01020119343679862
abschiebehaft,0.9683237729646558,0.011367986326100329
repression,0.9858868851488036,0.03687137899126672
kollateralschäden,0.999999376488344,0.001352172397742283
ausschreitungen,0.9999922301013268,0.0009260738525677404
